user,rating,date,review
L/O,"1,0",13 décembre 2018,Renvoyé sans même l'ouvrir car le scellé était déjà ouvert avec une étiquette décollée. Ici on commande un smartphone neuf mais on le reçoit d'occasion...
Michel B,"3,0",22 février 2019,"Attention, le A7 n'a pas la bande B28 (700) donc pas compatible avec Free. J'ai acheté un A8 pour pratiquement le même prix et qui a la B28. Faut vérifier que les téléphones sont compatibles avec toutes les bandes sur un site dédié car il y a beaucoup de surprise et avec tous les opérateurs. De plus il est difficile de connaître les bandes du téléphone choisi, ils faut rechercher. Il faut aussi connaître les bandes des opérateurs.  Pour conclure, pourquoi que les fabricants font l'impasse d'une bande ou deux sur certain de leur téléphone ? Heureusement que Amazon rembourse rapidement."
Luis Gudino,"5,0",30 novembre 2018,"À ce prix là on ne pourrait pas rêver d'avoir mieux. Ancien utilisateur d'iPhone j'ai décidé de basculer vers Samsung pour tester ses fonctionnalités et résultat, je ne suis pas déçu du tout."
karen GOTTERO,"5,0",11 décembre 2018,"Du bon samsung a un prix canon. Version allemande mais aucune difference avec la version francaise. Superbe écran amoled.
J'étais un peu craintive le fait que ce soit une version allemande mais en fait je ne regrette absolument pas mon achat. Ce smartphone est vraiment top. La livraison a été hyper rapide."
Aymen H.,"1,0",21 janvier 2019,"C'est null ,  le scellé était déjà ouvert , il manquait l'étuié , c'est un téléphone d'occasion à mon avis !"
Client d'Amazon,"5,0",24 novembre 2018,"Acheté comme cadeaux pour ma mère
Produit conforme à la description aucun problème de livraison il est même arriver 2 jours en avance, prise en mains facile  en gros RAS.
Je recommande vivement ce vendeur et ce téléphone"
Wilenium,"5,0",13 janvier 2019,"commandé le 12 décembre, reçu le 14 :)
conforme à la description, modèle polonais mais très facile à configurer en français.
dans l'icone d'antenne, il indique LTE ou LTE+ plutôt que 4G ou 4G+ peut être une question de normes européennes  !
Je recommande."
Liot,"3,0",12 janvier 2019,"Déçu car n a pas les appel wifi.... j ai changé exprès et normalement ce mode d appel devrait être intégré à ce téléphone...
Mais à part ça il est bien, du Samsung..."
David T.,"5,0",5 janvier 2019,"Qualité Samsung respecté, conforme à la description , un portable super fluide avec une qualité de photos exceptionelle! Merci"
MARTY MICHEL,"5,0",29 décembre 2018,"n'écouter pas les spécialistes pour les photos il est parfait. pour moins de 300 euros ""y a pas photo"" !
***** étoiles"
Guiot,"5,0",10 janvier 2019,"Téléphone au top, qualité photo du tonnerre, prix très attractif et que d'avis positif.
Commande reçue rapidement et dans les temps avec Amazon Prime
Je recommande vivement !!!"
Client d&#39;Amazon,"1,0",19 mai 2019,"J'ai acheté ce smartphone afin de remplacer mon ancien téléphone datant de 2 ans.
Je me suis orienté vers ce téléphone qui possède des avis positifs sur les grands sites de test pour les smartphones, de plus, avec une autonomie confortable et son triple capteur photo, celui-ci m'a paru un bon choix.
Malheureusement, ce téléphone me déçoit forcément ...
Après 3 semaines d'utilisation, celui-ci m'apporte que des problèmes.
Première déception, une autonomie catastrophique ... en une heure d'écran allumé, celui-ci perd jusqu'à 25% d'autonomie par heure lorsque la luminosité est au maximum. De plus, le mode veille consomme énormément, il m'arrive de perdre 10 à 15% de batterie par nuit ...
Après avoir quelques tests via l'application AccuBattery, mon téléphone que j'ai acheté ""NEUF"" possède une autonomie réelle de 92% et non 100%. L'application m'indique que la batterie possède 3 040mA contre 3 300mA annoncé par le constructeur, ce qui explique cette autonomie capricieuse ... (un téléphone vieillissant possède ce même genre de problème).
De plus, la batterie chauffe sans explication malgré une température extérieur confortable (15°c - 20°c), qu'est ce que cela va être lors des chaleurs de l'été ?
Deuxième point, le téléphone a tendance a ralentir sans raison malgré qu'il soit ""NEUF"", les menus manquent de fluidité, si je lance 4-5 applications en même temps, le téléphone coule ... les applications cessent de fonctionner ... certe, le téléphone ne fait pas parti des ""haut-gamme"" mais quand même ... il y a un minimum a respecter.
Pour conclure : est ce que un problème du téléphone que j'ai acheté et non un problème de modèle puisqu'il possède beaucoup d'avis positif ...
Bref, je reste déçu et je n'achèterai plus de téléphone sur Amazon et encore moins du vendeur."
Client d'Amazon,"5,0",1 février 2019,"Pas de notice de mise en main et pas plus sur internet ou un panachage de models s et A une mère cochons n y retrouverai ses petits.
Bel appareil fonctionnalités pas mal du tous confort de l’écran top photos videos extra comfort en mais tres bien pour mois de 300£ BRAVO je reste dans la marque pour quelques lunes lecteur d""empruntes ;;;;"
Angel9488,"5,0",8 février 2019,"J'ai acheté ce produit de couleur 《gold》.
La 1ere fois, j'ai reçu le téléphone cassé et le vendeur a été très bien, très professionnel  et très rapide. J'ai juste eu à retourner le téléphone et une semaine plus tard j'en ai reçu un neuf.
Je suis très satisfaite du produit, pour le prix c'est un très bon achat de bonne qualité."
BelgoMike,"5,0",12 mars 2019,"J'avais un S5, et bien, le A7 vas au moins 4 fois plus vite ! Appareil photo impressionnant avec ses 24mbp, rien à dire. Juste un peu triste qu'il n'a pas l'infra rouge..."
   Bernard  Dèz,"5,0",21 novembre 2018,"Très bon téléphone, livraison rapide, rien à dire"
