user,rating,date,review
Wizzu Wiz,"3,0",11 septembre 2018,"J'ai essayé des aspirateurs deux voire trois fois plus coûteux qui n'étaient pas plus réussis...
Celui-ci est un achat qui vaut le coup à cause de sa puissance d'aspiration, son poids plume et sa facilité d'emploi, malgré quelques petites faiblesses:
- si on veut aspirer d'une main en soulevant le corps de l'appareil de l'autre, le bac de récupération (sur lequel est montée la poignée) se disjoint légèrement du corps, du coup de l'air s'insère entre les deux parties et la puissance d'aspiration diminue
- pas possible de ranger l'aspirateur verticalement pour économiser de la place au sol. C'est un problème présent sur beaucoup d'aspirateurs de ce type et je ne comprends pas trop la logique des concepteurs à ce sujet. Ignorent-ils à quel point la place prise par tous nos appareils ménagers est un problème au quotidien? Le rangement à la verticale -pour diminuer la place prise au sol- devrait être généralisé.
Néanmoins, content de mon achat."
Chris ,"5,0",8 septembre 2018,"Petit aspirateur qui fait le travail d'un grand !!  Il est super puissant , aspire très bien et ne prends que très peu de place . Je l'ai acheté pour notre maison de campagne , ou l'on rentre et l'on sort en permanence avec toutes les portes ouvertes , et j'en suis vraiment contente . Excellent rapport qualité prix , aux alentours de 60 euros , et fait aussi bien le travail qu'un aspirateur de grande marque ! Bien sur il est un peu plus bruyant mais franchement pour le prix , allez y les yeux fermés et foncez !!
PS : je me suis un peu embrouillé les pinceaux pour fixer les accessoires pourtant très simples a monter , alors avant de râler et de dire que les accessoires ne sont pas adaptés au diamètre du tuyau d'aspiration, il faut simplement réfléchir 5 petites minutes ! LOL"
Anaïs Goulian,"5,0",24 septembre 2018,"J'ai acheté cet aspirateur dans le but de remplacer mon Dyson. Ne voulant pas mettre 300€ dans un aspirateur, j'ai suivi les commentaires et je me suis laissée tenter.
Quelle agréable surprise... aspirateur petit, pratique, léger, qui aspire vraiment bien (autant voir plus que mon Dyson), ne fait pas trop de bruit, malléable, pratique à nettoyer.
Cependant, le fil est un peu plus court, mais ce n'est pas gênant du tout.
Je recommande vivement cet aspirateur."
Philippe D.,"3,0",17 janvier 2019,"Une roue ne tient pas car elle était cassée.  Malheureusement il me faut renvoyer l'aspirateur complet à mes frais car il ne semble pas possible pour Amazon de simplement me renvoyer une roue  :/
Du coup je vais tenter de recoller moi-même les morceaux ...  Dommage!
Sinon l'appareil fonctionne très bien.  Il est relativement silencieux et le vidage du bac est simple et pratique."
Cindy,"5,0",18 juillet 2018,"Aspirateur très facile de montage, petit et peu bruyant ! Sa tête principale est pratique. Il est puissant. Un très bon rapport qualité/prix. Je me suis laissée guider par les avis et je ne suis pas déçue. A voir sur le long terme mai pour le moment je suis ravie !"
Pululu Nathalie,"5,0",3 août 2018,"Petit aspirateur un peu bruyant mais ça reste correcte pour un sans sac. Excellent rapport qualité prix, ne prend pas beaucoup de place. Mon appartement fait 40m2 et le fil est suffisaient long pour ne pas avoir au débrancher et rebrancher an chaque fois. Aspiration forte ce qui m’arrange car j’ai un vieux parquet."
florent duffner,"4,0",24 septembre 2018,"produit tout a fait en phase avec l'argumentaire commercial, parfaitement adapté aux petits espaces. le câble d'alimentation est effectivement (trop) court... mais j'ai le sentiment que l'on pourrait aujourd'hui dire cela de n'importe quel appareil électro-portatif ou ménager. La marge de l'industriel tiendrait-elle uniquement ans la longueur d'un câble ?"
Juliyeuh,"5,0",18 février 2018,"Pour un aspirateur à bas prix, il remplit très bien sa fonction dans mon petit appartement, rien à dire, à voir dans la durée"
mel34,"5,0",4 mars 2019,"J'ai acheté cet aspirateur en urgence... L'ancien que j'avais, à sacs, étant tombé en panne brutalement ! Je me suis laissée tenté par cet aspirateur, sans sacs, malgré quelques aprioris... Ma soeur en avait un, de grande marque, et n'en était pas du tout contente...
Première impression à la réception, l'aspirateur est très léger...il me paraissait même fragile.
Le montage est très simple, facile, les explications vont à l'essentiel, pas de perte de temps.
J'ai été convaincue à la première utilisation. La puissance d'aspiration est au top. Je n'ai pas eu d'aspirateur équivalent auparavant ! Il est très efficace, sans faire trop de bruits. Livré avec divers éléments, il permet différentes utilisations. Je les ai utilisés pour nettoyer ma voiture, cela s'est avéré très utile.
Il est aussi très facile de vider le contenu de l'aspirateur dans la poubelle, il peut y avoir une ouverture par le haut ou une par le bas.
Les petits points à améliorer serait une longueur de câble d'alimentation pas assez longue à mon goût, un rangement dans le placard pas facile. Je suppose que le produit a été optimisé pour réduire le coût d'achat...
En conclusion, après un mois d'utilisation, utilisation quotidienne, je mets une évaluation très positive pour ce produit, qui est très efficace au niveau de son aspiration (testé sur du carrelage, des tapis moquette, du parquet flottant, les banquettes et sols de la voiture). Produit que je recommande."
Baladron,"4,0",20 août 2018,"mon aspi est mort, sauf que remettre 200e pour un objet de menage c'est au dessus de mes forces... et de mes envies!
j'ai trouvé ce petit aspi, reçu rapidement, il nous a suivi, vacances obligent, dans notre maison a la montagne.
il est bien... il a survécu a 3 semaines d'herbes folles, d'enfants, de chiens et de chat, a un gros nettoyage de la voiture (les accesoires sont pas mal) et depuis notre retour, il fait sont petit boulot quotidien.
pour le prix, je suis ravie"
Mercredi Addams,"5,0",4 février 2019,L'aspirateur est tut d'abord léger et maniable. Les roues sont pratiques car elles ne butent pas contre le fil mais passe facilement dessus sans l'écraser. La cuve est très bien pensé pour etre vidée sans en mettre partout. De plus elle a une bonne capacité (merci aux utilisateurs d'avoir répondu à ma question avant de l'acheter.) En effet notre appartement fait 90 m2 et nous le vidons après plusieurs utilisations. Puissance d'aspiration très bonne. Plastique solide de bonne manufacture. Par contre ne pas etre trop grand car effectivement la taille du manche au maximum n'est pas très grande pour une personne de plus 1M75. Sinon très bon rapport qualité prix.
Elodie Mercier,"1,0",3 septembre 2018,"Très déçu, il fait le bruit d'un camion mais n'en a absolument pas la puissance .... en gros la puissance d'aspiration est très proche de zéro ... renvoyé 2j plus tard ...."
Titi,"5,0",29 décembre 2018,"Je n'ai jamais été aussi agréablement surprise !!! A ce prix je m'attendais à devoir le renvoyer car pas puissant .... pas du tout !!! Il est bien plus puissant que le dernier que j'ai acheté a plus de 100€!!
Je ne regrette absolument pas mon achat car faible bruit (certes pas de bouton de réglage...), léger, une aspiration puissante mais qui cependant ne donne pas mal au dos car on peut le décoller du sol aisément !
Bref j'adhère complément merci Amazon !"
Arianna Marcello,"5,0",6 février 2018,"Je suis étonnée, memes performances qu'un aspirateur à 200-300€. Puissant, assez silencieux. Parfait!!! Je suis extremement satisfaite de mon achat!"
zaaaaaaam,"5,0",16 janvier 2019,"J'ai acheté ce produit après avoir acheté un aspirateur sans fil pour remplacer un aspirateur rouleau très ancienne génération qui a tenu plus de dix ans. Malheureusement le sans fil utilisé, m'a vraiment déçu car la batterie est passé de 20 minutes a 2 minutes en moins d'un mois et la puissance était ridicule.
Amazon m'a remplace l'ancien produit considéré comme défaillant, et j'ai voulu tenté la gamme AmazonBasics, et quelle surprise !
Rapport qualité tres bon, la puissance est suffisante pour un besoin ménager et quotidien, sans perte de puissance en 3 mois. L'aspirateur ne prend pas trop de place et est assez léger. Je recommande si vous voulez investir intelligemment dans des produits fiables."
Jean Jacques Benveniste,"5,0",12 octobre 2018,"J'ai utilisé cet appareil dans mon atelier. Il marche remarquablement bien, il est très puissant, le bruit est normal sans être excessif et il est particulèrement facile à vider.  Il est économique puisqu'une utilise pas de sac. Je recommande vivement cet article pour son excellent rapport qualité prix"
Nanou,"4,0",24 janvier 2019,"Il est petit, maniable, léger, il faut beaucoup moins de bruit que les aspirateurs de la gamme; Il convient dans mon appartement de 75 m2 sans que j'ai besoin de changer de prise à toutes les pieces; Sur carrelage niquel, sur tapis il fait le job mais il faut insister d'avantage, mais à sa décharge il doit absorber les poils d'un golden et d'un chat; Il fait ça très bien; Il se vide facilement et se reclipe tout aussi facilement Il se range dans un coin sans se faire trop présent; un des meilleurs achats que j'ai fait pour cette gamme de prix; A voir sur la durée;"
Lucie T,"5,0",16 janvier 2019,"Testé et approuvé ! Cet aspirateur s'avère être très pratique et agréable à utiliser. En effet, j'avais des aprioris sur les ""sans sacs"" car ayant eu précédemment de mauvaises expériences avec ce genre de modèles. Finalement, le ""sans sac"" s'avère être un point fort, il a un excellent contenant permettant d'aspirer une grande surface avant d'avoir à le vider, fini la galère de trouver les bons sacs. Il aspire très bien et surtout ne fait pas trop de bruit ce qui est très appréciable. Vendu avec plusieurs embouts, toutes les parties se décrochent et se raccrochent très facilement grâce au système de clips.
A voir maintenant à l'usure mais pour le moment je suis conquise et ne regrette absolument pas mon achat."
mum,"4,0",6 mai 2019,"Mon bon gros Dyson, acheté il y a plus de 20 ans a rendu brusquement l'âme (obsolescence programmée ;-) et j'ai commandé ce basic pour avoir très rapidement un aspirateur ""potable""  dans la maison sans me faire beaucoup d'illusions sur ses capacités. J'ai vite changé d'avis et attendu quelques semaines avant d'en faire part.
Livraison super rapide. Je déballe l'aspirateur : je passe sur l'effet d'avoir acheté un jouet et le fil riquiqui.
Mais, à l'usage (après avoir été chercher une rallonge électrique), ce modèle de poche n'a pas à rougir : il aspire fort, vite et bien et son petit gabarit et son poids plume se révèlent très confortables, surtout dans les escaliers.
Je n'ai eu aucune perte de puissance à signaler.
Bref, si les accessoires et les brosses étaient améliorés, même en doublant le prix, il mériterait 6 étoiles.
Car les accessoires sont assez mal adaptés à ""la réalité du terrain"" : les brosses ont vraiment les poils trop ras obligeant à les nettoyer très régulièrement. La petite brosse à main tourne de manière intempestive (j'ai mis un coup de vernis transparent pour limiter son mouvement, la buse type ""suceur"" se révèle trop courte et trop large pour aspirer la poussières des radiateurs.
Un rotateur entre le flexible et la poignée serait le bienvenu pour une maniabilité optimale de l'appareil.
Malgré tout, c'est un excellent aspirateur avec un rapport qualité/prix défiant toute concurrence."
Jourdan Elsa,"2,0",29 janvier 2019,"J’ai acheté cet aspirateur suite aux bons commentaires. J’ai préféré attendre de l’avoir utilisé plusieurs fois avant de donner un avis. A première vu il est très bien, léger, maniable, pas plus bruyant qu’un autre, efficace. Une légère odeur de plastique lors de la première utilisation mais qui s’est très vite dissipée. Cependant après quelques utilisations (malgré un bon nettoyage des filtres) il perd déjà de l’aspiration. Au final très décevant"
