user,rating,date,review
Mo,"5,0",3 octobre 2018,"J'ai été surpris. A la maison, nous avons un Dyson V6 qui fait un bruit effroyable mais qui aspire ... Comme un Dyson. J'ai choisi le H.Koenig pour un bureau. Les criteres decisifs sont le prix et ses commentaires positifs. Pour ce qui est de mon avis : L'aspirateur  est très efficace. La brosse fait bien son boulot, l'entretien , démontage et remontage de la brosse se fait sans soucis, quand au bruit, je le trouve tres silencieux par rapport au Dyson. Donc un rapport bruit/prix/efficacité qui est une tres bonne surprise."
J. Noel,"5,0",6 mai 2018,"Ce petit aspirateur est très léger et très efficace, rapidité de mise en action, bonne tenue de la batterie, très maniable.
Nous sommes très satisfait avec ma Femme, surtout elle, car c'est toujours moi qui m'en sert lol."
Client d'Amazon,"1,0",3 juin 2018,Super maniable léger mais malheureusement 2 niveaux de puissance qui ne permettent meme pas d'aspirer des grains de riz
Coyote,"5,0",23 mars 2018,"Au lieu de sortir l'artillerie lourde, ce petit aspi sans fil est vraiment pratique et fait bien son job... Remplace très largement le balai et la pelle. Toujours prêt sur son socle de chargement, léger et très maniable... Que du bonheur
Puissance d'aspi suffisante pour un usage quotidien et la roto brosse est très efficace sur carrelage et parquet. Pas essayé sur tapis"
mikleasshi,"2,0",18 janvier 2019,"L’aspirateur est petit, léger et fait relativement peu de bruit. L’autonomie de l’accumulateur permets de le passer une fois dans une maison de 150m carrés avant de devoir le rebrancher. Il se démonte facilement pour le nettoyage.
Cependant, le pouvoir d’aspiration est ridicule : on peut aspirer des poils d’animal et des poussières légères au deuxième niveau de puissance (le max), mais rien d’autre. Il a une valve en caoutchouc pour empêcher la redescente des particules aspirées, mais elle réduit d’avantage la force d’aspiration (une fois enlevée, les saletés retombent par terre quand l’aspirateur est arrêté, pas de surprise). Le premier niveau de puissance est complètement inutile à mon sens, il ne fait que de rajouter une étape pour mettre en route l’aspirateur, au moins on sait qu’il y a un département marketing chez H.Koenig, qui a peut être pris la place du R&D.
L’aspirateur se bloque très souvent à cause d’un système de filtre mal conçu, on fini par devoir le désassembler après chaque passage pour le nettoyer et pour vider le container. Cela rend nul tout avantage et confort lié à la légèreté et à la simplicité d’utilisation. Il est plus frustrant qu’un aspirateur à fil de taille normale.
Je pense qu’il pourrait éventuellement trouver son utilité dans un petit studio ou appart, sans animaux et sans enfant, en passage quotidien. Pour une utilisation dans une maison, avec des enfants/animaux, il fait 40% du travail pour 70% du prix d’un aspirateur sans fil plus performant (j’avais un modelé Rowenta 24v avant, qui était bien plus puissant et plus robuste).
Je l’utilise actuellement de temps en temps en complément d’un aspirateur eaux et poussières Einhell TC-VC 1820 S, qui coute la moitié du prix de celui-ci et qui fait moins «  i phone » et plus aspirateur."
Elodie,"5,0",28 juillet 2018,"J'ai acheté cet aspirateur pour compléter un aspirateur traîneau... Il y a une semaine que je l'utilise... Je ne sais pas comment j'ai fait pour m'en passer aussi longtemps... Il est léger, très facile d'utilisation. Je ne pense plus utiliser le traineau, à voir dans le temps...
Nous avons un lapin dans la maison qui disperse du foin... Plus de problème en 3 minutes c'est réglé. Je l'ai acheté aussi pour que ma fille puisse passer l'aspirateur plus souvent, c'est gagné!
Nous n'avons ni tapis ni moquette, je ne pense pas que ce soit super efficace dessus, l'aspiration n'est certainement pas aussi puissante que la marque bien connue.
Ravie de mon achat!"
Oscarine,"5,0",16 septembre 2018,"Très bon petit aspirateur d'appoint, esthétique, léger, très maniable, bonne batterie et facile d'entretien, ma fille en a un de grande marque, plus lourd, un peu pénible car il faut maintenir le bouton appuyé, compliqué avec ma tendinite, donc je suis ravie de l'achat de cet UP600. A voir s'il durera dans le temps, mais pour l'instant excellent rapport qualité prix, après c'est comme pour mon iRobot, il faut entretenir les brosses et les filtres de façon régulière pour que le moteur ne force pas, surtout dans une maison où la gent féminine a les cheveux longs....
Suite de mon premier commentaire, Koenig ne vend pas les pièces détachées, mais on peut trouver les filtres identiques vendus sous la marque de l'aspirateur Dibéa C17, j'en ai acheté deux pour un peu plus de 8 euros sur Amazon..."
CMGL06,"5,0",5 mars 2018,"Compte tenu de son prix cet article est super. Très maniable, peu bruyant, aspire sans souci miettes et petits déchets après chaque repas. Belle autonomie. Je recommande ce petit aspirateur bien pratique et qui se recharge très rapidement sur son socle."
SolangeC,"1,0",6 janvier 2019,"Tellement emballée a l’idee De recevoir ce petit aspirateur pour la cuisine, obligatoire avec un monstre de 18mois! Au bout de 2 utilisations cela n’aspire plus.. j’ai rechargé, vide, change d’embout cela n’aspire rien tout en faisant du bruit. Le temps est passe je l’ai laissé dans le placard et repousser le moment de faire appel au vendeur pour y remédier, je m’y prends trop tard. 90€ à la poubelle."
REMOLU,"3,0",3 octobre 2018,"Appareil qui rempli mes attentent. Par contre, il aspire des poils d'animaux pour ma part mais faut pas lui en demander plus. Il n'aspire pas grand chose avec la petite brosse ovale qui fait partie des accessoires. J'attends de voir ce que ça donne dans la voiture .... J’émets des réserves tout de même. Bref, très bien pour les petites saletés du quotidien, mais ne vaut pas le bon gros aspirateur pour faire le grand ménage. Heureusement qu'il est équipé de la brosse tournante au bout !
A voir avec le tps."
MUHULI,"5,0",2 octobre 2018,"je cherchais un aspirateur sans fil et sans sac. J'en avais assez d'être toujours en train de me battre avec le fil électrique quand je passais l'aspirateur.
Au cours de mes recherches je suis tombée sur ce modèle, je connais la marque ayant eu d'autres appareils très fiables.  et en plus il avait un réduction importante. Il a vite trouvé sa place accrocher au mur accessible facilement dès qu'on en a besoin. Délai très rapide. Je recommande cet article."
